"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*02z0t*","Michael Conforto","LAD","OF","470","FA","32","DET Thu 4:10PM","51.9","91%","320.85","76%","384","91","52","20","58","2",".317",".451","105"
"*051ia*","Spencer Horwitz","PIT","1B,2B","334","FA","27","@MIA Thu 1:10PM","62.17","91%","322.15","79%","479","132","69","16","63","6",".379",".436","138"
"*01cfr*","Carlos Santana","CLE","1B","294","FA","38","@KC Thu 1:10PM","64.86","86%","325.62","69%","538","123","67","22","74","4",".317",".403","146"
"*031b2*","Jonah Heim","TEX","C","415","FA","29","BOS Thu 1:05PM","55.06","87%","326.41","65%","419","95","50","15","66","2",".283",".382","113"
"*05gtn*","Tyler Soderstrom","ATH","C,1B","371","FA","23","@SEA Thu 7:10PM","58.64","86%","327.92","84%","460","107","46","20","59","1",".309",".413","122"
"*05yaf*","Jacob Young","WSH","OF","417","FA","25","PHI Thu 1:05PM","54.9","86%","329.55","68%","441","113","62","3","37","29",".329",".336","138"
"*04mn4*","Joey Bart","PIT","C","582","FA","28","@MIA Thu 1:10PM","44.72","85%","332.14","59%","328","79","43","11","42","1",".323",".384","89"
"*06in4*","Hyeseong Kim","LAD","2B","512","FA","26","DET Thu 4:10PM","49.86","70%","339.26","79%","422","110","53","5","37","19",".322",".351","113"
"*05js5*","Coby Mayo","BAL","3B","553","FA","23","@TOR Thu 12:07PM","46.76","85%","340.03","92%","379","87","43","15","45","3",".332",".414","105"
"*0597k*","Nick Gonzales","PIT","2B","414","FA","25","@MIA Thu 1:10PM","55.19","81%","340.34","66%","492","127","65","11","55","5",".333",".413","130"
"*03aay*","Thairo Estrada","COL","2B","333","FA","29","","62.2","68%","342.05","69%","475","123","68","16","61","16",".306",".415","113"
"*052ru*","Josh Smith","TEX","3B,SS","546","FA","27","BOS Thu 1:05PM","47.58","84%","343.99","68%","389","95","52","9","44","8",".336",".368","112"
"*04mrn*","Bo Naylor","CLE","C","449","FA","25","@KC Thu 1:10PM","52.9","84%","344.56","62%","400","82","48","15","47","7",".301",".365","113"
